0.000000000000000000e+00 0.000000000000000000e+00
3.987803829193345528e+00 1.019350658862296259e+06
1.024703918166472249e+03 1.658140264672822894e+01
4.978359447392307402e+00 1.441651201676907018e+06
5.577178407745809636e+02 1.536304704640498997e+01
5.174820818956009205e+00 3.253570714479051530e+05
1.327267714346923185e+03 9.552817230874077836e+01
7.391798949766756444e+00 4.033198238130797836e+04
1.939188784118923877e+03 7.437303823302548267e+01
9.550598487861028829e+00 3.715827779598759662e+04
2.487542923998623792e+03 1.052821034315762603e+02
1.120059293763939223e+01 9.108771697737458453e+03
2.462132611463118337e+03 1.182055250185821365e+02
1.291547657108268510e+01 5.046944540089043585e+03
2.968994938073282810e+03 8.795797952564331013e+01
1.332908500372933425e+01 3.228536424767798053e+03
3.462977612999775374e+03 8.245072207090095162e+01
1.232887551587088204e+01 3.480216207838611354e+03
3.197222127892267963e+03 8.282497597890414909e+01
2.583495627590826871e+01 4.047396423459988000e+03
4.219058253342692296e+03 8.991132889234350500e+01
3.624699352259227680e+01 6.117739092627371065e+03
5.365126230990445038e+03 1.008436777094527770e+02
2.902768499595932283e+01 8.900860124392911530e+03
3.717882668583777559e+03 1.272124354725020083e+02
4.260145559460002573e+01 1.203761902700213614e+04
4.932217926169658313e+03 1.272535823481734951e+02
3.255079220710621257e+01 1.221385302928590318e+04
4.364348574762880162e+03 1.374138637819445137e+02
3.494197681122685140e+01 8.566085904749386827e+03
5.084354695302210530e+03 9.831760525571604603e+01
3.609940065448208202e+01 6.000493652163354454e+03
7.992466706450773927e+03 9.504287852032456385e+01
5.188224420246496038e+01 5.278409374469361865e+03
4.674226183206786118e+03 1.135635789420303468e+02
5.707756080302677759e+01 5.038570166302858524e+03
3.173108432114434436e+03 1.160794539116252082e+02
5.360132130237457204e+01 6.141060227450998354e+03
2.430033513281365231e+03 1.212632770501297017e+02
5.495039750437921811e+01 7.331454459568070888e+03
2.113945532098450713e+03 1.690703117979636545e+02
5.325160565120162204e+01 8.459537798375084094e+03
1.474714298653216701e+03 1.404929126216940460e+02
5.950405018855488493e+01 6.464381378066394973e+03
8.531825975443080097e+02 1.014230528946479097e+02
6.183462037954257084e+01 4.389301445752095788e+03
1.209440609040790150e+03 1.166319175387623801e+02
6.994337120149765497e+01 3.482020739875906656e+03
1.669791635759601832e+03 1.510404831261623144e+02
7.800424171669629914e+01 2.774242907398523130e+03
1.116846575366096658e+03 1.346731578236790767e+02
8.419045523657371177e+01 1.980849385722749730e+03
1.076952381063898883e+03 1.677159974815409385e+02
1.034379923272599626e+02 1.368482212223432725e+03
1.058610342496410340e+03 2.222956369505940586e+02
1.256663095427418995e+02 1.043493638929698591e+03
1.283558879911237000e+03 1.964410022344486038e+02
1.474361041501895215e+02 1.347627064369277377e+03
1.260310215467549824e+03 2.374612819744082230e+02
1.744992911860201161e+02 1.319637017200909440e+03
1.139433017075973794e+03 2.604934437899505610e+02
2.011935306293588610e+02 1.133332381222702224e+03
1.452056789564143173e+03 2.278243972862454712e+02
2.222934985927990397e+02 9.829792773353879056e+02
1.261174434276235161e+03 2.039987330120601996e+02
2.221579765395538857e+02 8.745066878116798534e+02
1.073033522721405461e+03 1.840911166799265857e+02
2.152294215742805648e+02 7.739717876665887388e+02
7.944406411085847139e+02 1.844413259881075646e+02
1.936266012984578424e+02 8.141673634479503789e+02
6.632326772270681658e+02 2.037747974521378183e+02
1.728457395100122369e+02 6.886167265794373407e+02
6.913250543588076198e+02 1.972310136075584239e+02
1.539771807569991324e+02 5.993308847512278135e+02
5.957042292028236261e+02 1.810026993516545701e+02
1.408632422831039435e+02 6.100390026761888294e+02
5.057734920906571006e+02 1.609897903507709600e+02
1.294608555437189636e+02 5.890670536630967717e+02
4.252889731257499761e+02 1.281045721121816996e+02
1.135644677335285451e+02 4.719381016237415452e+02
5.302155513600005179e+02 1.085000462498765614e+02
9.946350799607371584e+01 3.901645096689459251e+02
4.678965677721259908e+02 9.822259233061737405e+01
8.811480399431637522e+01 3.434159572191667849e+02
5.721414075515353943e+02 8.822916770346836302e+01
7.812441091669589355e+01 3.335600882164221730e+02
6.934230236994521874e+02 7.112890513633620060e+01
6.703877041317319652e+01 3.756934993072042630e+02
5.558506007956495978e+02 5.120726467692904293e+01
5.696936153197706432e+01 3.417223138885290155e+02
7.630588982216305567e+02 4.896097406759952975e+01
4.850516666673933486e+01 4.023485012790011979e+02
8.371380352482334501e+02 5.340764899757527928e+01
3.978401151304383632e+01 3.981572658475931803e+02
7.482321020943031726e+02 5.871644185252722536e+01
2.974444460796166467e+01 2.490450829481514461e+02
8.406293814259514647e+02 4.750543090902469601e+01
