1.872116839573427205e+04 1.871591095474634858e+04 4.392194759812038996e+00 8.652462288451499006e-01
9.992575336531413654e+01 8.467495192233604939e+01 1.239998551770538704e+01 2.850815925272550455e+00
3.167056753164936467e+01 2.202527105357923887e+01 7.670687917943001644e+00 1.974608560127055101e+00
6.933166091609642478e+01 3.975015871585800653e+01 2.436237289254897931e+01 5.219129307689593489e+00
1.137202591124820543e+02 6.687597132173389980e+01 3.481969219840896557e+01 1.202459559233915698e+01
1.240055490085593135e+02 6.592525733575844527e+01 4.547018169327410675e+01 1.261010997952683255e+01
6.584838530101914955e+01 3.918566527618263962e+01 1.626657080325558979e+01 1.039614922158101784e+01
7.617142781610813529e+01 4.847651254126822806e+01 1.769495696885404712e+01 9.999958305985732210e+00
8.713360961070719668e+01 4.584491070515072408e+01 2.576161443207018209e+01 1.552708447348625498e+01
9.325774229162833251e+01 2.910029285494444196e+01 4.696885493864138539e+01 1.718859449804309136e+01
1.364614147596768134e+02 3.528723552218716009e+01 7.298733471102653425e+01 2.818684452646340333e+01
2.266673904582612522e+02 5.884498974098545432e+01 1.259474692038715347e+02 4.187493151340408559e+01
2.305630121408021580e+02 3.744082260342234747e+01 1.668135196513369749e+02 2.630866988604396184e+01
2.848614575262278095e+02 5.472542645041171738e+01 1.829252779882271511e+02 4.721075308759064626e+01
1.216872870047556603e+02 2.105863652822549525e+01 6.330624840415176635e+01 3.732240207237843777e+01
1.907124700786136202e+02 7.302330587732689082e+01 7.801454604433044437e+01 3.967461815695647687e+01
3.185712070406133307e+02 9.885038240506767693e+01 1.438865618193509874e+02 7.583426281619499321e+01
1.127422226910799026e+02 3.232872112921509000e+01 6.175537299854434536e+01 1.865812856332106051e+01
6.085271534585590558e+01 1.149389914869901830e+01 3.827441859938692659e+01 1.108439759777070854e+01
6.184637961726583200e+01 1.203172466149121256e+01 3.788209997011920649e+01 1.193255498565540762e+01
8.669349513163160736e+01 1.531232141777422129e+01 5.849535856836979519e+01 1.288581514548770635e+01
4.382066481915388323e+01 7.437368137460331319e+00 2.801964775926045803e+01 8.363648922433043253e+00
4.836461643795617249e+01 5.507789961349303987e+00 3.045840765957577645e+01 1.239841881703115689e+01
5.197383237576210746e+01 7.573945566168275967e+00 2.957886213590933977e+01 1.482102467368449261e+01
5.699489279506763495e+01 8.295796369748577703e+00 2.969117096134223743e+01 1.900792546397713778e+01
5.707730892463190742e+01 6.499926652216003298e+00 2.831980594811389551e+01 2.225757632430204680e+01
4.491863084983527443e+01 6.496992443234453241e+00 1.795532407213169535e+01 2.046631433446916759e+01
3.695450574545657219e+01 6.427702949167683144e+00 1.336268742426494605e+01 1.716411537202375825e+01
2.962593835745194681e+01 7.418786531290003872e+00 1.132745822896778520e+01 1.087969359719401297e+01
3.071165858092161116e+01 7.143040472652946171e+00 1.147873126560928903e+01 1.208988684265925961e+01
2.368606387761763798e+01 4.175147897714907685e+00 9.339798759502345504e+00 1.017111722040038302e+01
2.382741486566096256e+01 3.673623537558321051e+00 8.224418602709794968e+00 1.192937272539279903e+01
1.944171641719123755e+01 3.183149422706950116e+00 5.419115378317146181e+00 1.083945161616707153e+01
1.255312670349310800e+01 2.152825208056391659e+00 3.902055965069587185e+00 6.498245530367090517e+00
1.007434024022833796e+01 1.130633983427710598e+00 5.403675615185304260e+00 3.540030641615311779e+00
9.204122689717475936e+00 1.199443497358916755e+00 3.614030084536872689e+00 4.390649107821681163e+00
8.803710590275576564e+00 1.448937085325060714e+00 2.538286020444205260e+00 4.816487484506263073e+00
9.112563269333405103e+00 1.455748914324566767e+00 2.731827881394473856e+00 4.924986473614357152e+00
5.683022689293289353e+00 1.213964492642081616e+00 1.714222787849777996e+00 2.754835408801435737e+00
4.344198691549071789e+00 9.639948286434160130e-01 1.216577349730590285e+00 2.163626513175050725e+00
6.204496551591109466e+00 1.401241510647139643e+00 1.900460092456958794e+00 2.902794948486973503e+00
4.909041735459298117e+00 9.045670128371982033e-01 2.344009064373088425e+00 1.660465658249006937e+00
5.113059903790262872e+00 7.773037330924854604e-01 1.959694825497855453e+00 2.376061345199927288e+00
4.490218811301323498e+00 7.100608664349471466e-01 1.426672487944228518e+00 2.353485456922169039e+00
2.447004673960332166e+00 4.276797238547352387e-01 1.075761648597934883e+00 9.435633015076575481e-01
7.032769691365121645e+00 8.046388503699039019e-01 2.813685340915565547e+00 3.414445500079592577e+00
6.431765298757581739e+00 7.713226415751056608e-01 2.219423750538569440e+00 3.441018906643888986e+00
3.281228692590284268e+00 5.773780131458738918e-01 4.083605611246197142e-01 2.295490118319785999e+00
